Image,Red Puncta Count (PSD95),Green Puncta Count (VGlut1),Colocalized Puncta Count,Offset Used,Lower Red Threshold,Upper Red Threshold,Lower Green Threshold,Upper Green Threshold,Red Min Pixel,Green Min Pixel,Scale,Unit
Pair2_L2R2_7-9_binary_WT,4703,2238,774,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_10-12_binary_WT,4382,1784,760,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_1-3_binary_WT,4775,1714,893,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_13-15_binary_WT,4432,1447,637,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_4-6_binary_WT,4582,1633,777,0,0,0,0,0,4,4,0.138,microns
Pair2_L2R3_7-9_binary_WT,4606,1610,746,0,0,0,0,0,4,4,0.138,microns
Pair3_L2R2_10-12_binary_WT,2442,2143,442,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_1-3_binary_WT,2798,2157,479,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_13-15_binary_WT,2491,2107,449,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_4-6_binary_WT,2489,2199,431,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R2_7-9_binary_WT,2376,1995,376,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_10-12_binary_WT,3292,1925,538,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_1-3_binary_WT,2559,1161,392,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_13-15_binary_WT,3772,1859,553,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_4-6_binary_WT,3012,1620,502,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R5_7-9_binary_WT,3122,1738,498,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_10-12_binary_WT,3744,2392,767,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_1-3_binary_WT,3603,1549,780,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_13-15_binary_WT,3816,2497,793,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_4-6_binary_WT,3588,2238,830,0,0,0,0,0,4,4,0.141,microns
Pair3_L2R6_7-9_binary_WT,3749,2305,819,0,0,0,0,0,4,4,0.141,microns
